purchase_month,gmv,orders,users,new_users,repeat_users,aov,orders_per_user,identity_gmv,identity_gap,is_complete_month,gmv_mom_pct,users_mom_pct,orders_per_user_mom_pct,aov_mom_pct
2016-09,143.46,1,1,1,0,143.46,1.0,143.46,0.0,True,,,,
2016-10,46490.66,265,262,262,0,175.4364528301887,1.0114503816793894,46490.66,0.0,True,323.06705701937824,261.0,0.011450381679389388,0.22289455479010667
2016-12,19.62,1,1,1,0,19.62,1.0,19.62,0.0,True,-0.9995779797490507,-0.9961832061068703,-0.01132075471698124,-0.8881646334984274
2017-01,127482.37,750,718,717,1,169.97649333333334,1.0445682451253482,127482.37000000001,-1.4551915228366852e-11,True,6496.572375127421,717.0,0.04456824512534818,7.663429833503228
2017-02,271239.32,1653,1630,1628,2,164.08912280701756,1.0141104294478527,271239.32,0.0,True,1.1276614170257426,1.2701949860724233,-0.02915828220858907,-0.03463638065982644
2017-03,414330.95,2546,2508,2503,5,162.73800078554595,1.0151515151515151,414330.95,0.0,True,0.5275475178156324,0.5386503067484663,0.0010265999376708468,-0.008234074254029888
2017-04,390812.4,2303,2274,2256,18,169.6970907511941,1.0127528583992964,390812.4,0.0,True,-0.056762715891728543,-0.09330143540669855,-0.002362855905170713,0.042762538141406514
2017-05,566851.4,3546,3479,3451,28,159.85657078398197,1.0192584075883875,566851.4,0.0,True,0.4504437423172858,0.5299032541776605,0.006423629551017385,-0.05798873701164442
2017-06,490050.37,3135,3076,3037,39,156.31590749601276,1.0191807542262679,490050.37,0.0,True,-0.13548706062999938,-0.11583788444955445,-7.618613841342547e-05,-0.02214900063603764
2017-07,566299.08,3872,3802,3752,50,146.2549276859504,1.0184113624408206,566299.08,0.0,True,0.1555936178560582,0.2360208062418725,-0.0007549120038391477,-0.06436312190631643
2017-08,645832.36,4193,4114,4057,57,154.02632005723825,1.0192027224112785,645832.36,0.0,True,0.14044395057113634,0.08206207259337184,0.0007770533594217977,0.053135935275802515
2017-09,701077.49,4150,4083,4004,79,168.93433493975903,1.0164095028165565,701077.49,0.0,True,0.08554097537014105,-0.007535245503159982,-0.002740592752846771,0.09678874933180737
2017-10,751117.01,4478,4417,4328,89,167.73492853952658,1.0138102784695495,751117.01,0.0,True,0.07137516282258627,0.08180259613029639,-0.002557260965982966,-0.007099837937978415
2017-11,1153364.2,7289,7183,7060,123,158.23352997667718,1.014757065293053,1153364.2,0.0,True,0.5355319938766929,0.6262168892913742,0.0009338895487751575,-0.05664531916863347
2017-12,843078.29,5513,5450,5338,112,152.92550154181026,1.011559633027523,843078.29,0.0,True,-0.2690268260450601,-0.24126409578170682,-0.0031509337307316088,-0.033545535106556
2018-01,1077887.46,7069,6974,6842,132,152.48089687367377,1.013622024663034,1077887.46,0.0,True,0.2785140748909569,0.27963302752293573,0.002038823583082827,-0.002907328494292649
2018-02,966168.41,6555,6400,6288,112,147.39411289092297,1.02421875,966168.41,0.0,True,-0.10364630274110431,-0.08230570691138517,0.0104543163813835,-0.033360139447271675
2018-03,1120598.24,7003,6914,6774,140,160.01688419248893,1.0128724327451548,1120598.24,0.0,True,0.1598373828016173,0.08031250000000001,-0.0110780214234949,0.08563958935664728
2018-04,1132878.93,6798,6744,6582,162,166.64885701676963,1.0080071174377223,1132878.9299999997,2.3283064365386963e-10,True,0.010959048088456713,-0.02458779288400348,-0.004803482798170555,0.04144545657008858
2018-05,1128774.52,6749,6693,6506,187,167.2506326863239,1.0083669505453459,1128774.52,0.0,True,-0.0036229908521645537,-0.007562277580071219,0.00035697476872798006,0.003611039885462519
2018-06,1011978.29,6099,6061,5878,183,165.9252811936383,1.006269592476489,1011978.29,0.0,True,-0.10347171018707968,-0.09442701329747494,-0.0020799551866733657,-0.007924343671520062
2018-07,1027807.28,6159,6100,5949,151,166.8789219029063,1.009672131147541,1027807.28,0.0,True,0.015641630019552988,0.0064345817521860305,0.0033813390531636234,0.005747410535680064
2018-08,985491.64,6351,6310,6144,166,155.17109746496615,1.0064976228209193,985491.6400000001,-1.1641532182693481e-10,False,-0.041170792252026134,0.03442622950819674,-0.00314409819652417,-0.07015759872149718
